net,length_um
_03511_,1911.91
_34497_,1847.64
_34313_,1614.85
_03879_,1603.925
_04108_,1519.38
_34788_,1509.5
_03704_,1448.16
_34873_,1445.925
_34807_,1376.24
_34915_,1376.14
_34818_,1375.765
_34793_,1370.58
_34855_,1330.19
_34853_,1316.44
_34785_,1308.71
_34304_,1280.88
_34934_,1243.76
_34766_,1230.445
_08856_,1222.64
_34833_,1179.82
_28220_,1173.03
_06608_,1166.445
_34792_,1163.39
_09840_,1151.42
_20080_,1144.695
_34803_,1125.25
_34854_,1117.05
_34738_,1114.92
_34782_,1088.16
_34796_,1077.98
_34815_,1070.58
_34809_,1057.895
_05667_,1056.91
_34828_,1051.25
_34925_,1040.66
_10834_,1036.94
_34804_,1032.29
_21054_,1029.92
_14771_,1025.65
_34811_,1023.44
_34832_,1019.8
_34892_,1016.085
_34813_,1013.39
net410,1007.76
_34305_,1005.36
matrix_top.buffer_gen\[0\].buffer.reg_in\[22\],974.7
_34307_,972.84
matrix_top.buffer_gen\[0\].buffer.reg_in\[20\],971.175
_23734_,966.92
_34880_,966.58
matrix_top.buffer_gen\[0\].buffer.reg_in\[28\],947.975
_34861_,943.78
matrix_top.buffer_gen\[0\].buffer.reg_in\[27\],939.92
_05668_,932.99
_06353_,930.45
_34930_,929.96
_34889_,929.19
matrix_top.buffer_gen\[0\].buffer.reg_in\[18\],922.605
matrix_top.buffer_gen\[0\].buffer.reg_in\[25\],918.72
_03513_,914.19
_03870_,913.85
_16755_,911.96
_34802_,911.48
_34299_,908.81
_10003_,902.01
matrix_top.buffer_gen\[0\].buffer.reg_in\[24\],885.755
_23771_,884.79
matrix_top.buffer_gen\[0\].buffer.reg_in\[15\],884.575
matrix_top.buffer_gen\[0\].buffer.reg_in\[21\],874.97
_34866_,871.4
matrix_top.buffer_gen\[0\].buffer.reg_in\[26\],866.805
matrix_top.buffer_gen\[0\].buffer.reg_in\[0\],860.065
matrix_top.buffer_gen\[0\].buffer.reg_in\[12\],859.115
_11279_,855.15
_13707_,851.77
matrix_top.buffer_gen\[0\].buffer.reg_in\[17\],847.555
_17537_,846.13
_16063_,845.17
_04557_,842.48
_34973_,840.28
matrix_top.buffer_gen\[0\].buffer.reg_in\[23\],839.85
_34301_,835.7
matrix_top.buffer_gen\[0\].buffer.reg_in\[29\],834.02
matrix_top.buffer_gen\[0\].buffer.reg_in\[10\],833.67
_26700_,828.315
matrix_top.buffer_gen\[0\].buffer.reg_in\[11\],828.305
_34822_,827.48
matrix_top.buffer_gen\[0\].buffer.reg_in\[2\],826.805
_34300_,824.9
_34780_,816.52
matrix_top.buffer_gen\[0\].buffer.reg_in\[3\],816.045
_26543_,815.08
_34790_,813.29
matrix_top.buffer_gen\[0\].buffer.reg_in\[13\],812.195
matrix_top.buffer_gen\[0\].buffer.reg_in\[1\],810.995
matrix_top.buffer_gen\[0\].buffer.reg_in\[30\],810.26
matrix_top.buffer_gen\[0\].buffer.reg_in\[8\],807.795
matrix_top.buffer_gen\[0\].buffer.reg_in\[31\],804.965
_34670_,801.32
matrix_top.buffer_gen\[0\].buffer.reg_in\[19\],800.955
_34319_,800.5
_03705_,796.11
matrix_top.buffer_gen\[0\].buffer.reg_in\[9\],795.005
matrix_top.buffer_gen\[0\].buffer.reg_in\[16\],794.065
_04549_,783.4
matrix_top.buffer_gen\[0\].buffer.reg_in\[14\],782.055
matrix_top.buffer_gen\[0\].buffer.reg_in\[5\],777.47
_34931_,775.1
_34751_,772.69
matrix_top.buffer_gen\[0\].buffer.reg_in\[4\],767.285
_34863_,767
_14034_,759.18
_24348_,751.57
_35016_,746.36
matrix_top.buffer_gen\[0\].buffer.reg_in\[7\],746.125
matrix_top.buffer_gen\[0\].buffer.reg_in\[6\],744.825
_34823_,743.96
_34778_,733.08
_35012_,729.76
_34935_,715.23
_22808_,706.74
_34916_,702.92
_06571_,691.67
_34870_,689.22
_04569_,687.39
_09863_,685.6
_25307_,683.79
_34945_,682.93
_17563_,682.185
_13039_,682.16
_09376_,681.79
_22965_,680.855
net651,671.99
_24656_,669.28
net303,669.2
_03906_,665.1
_34914_,662.25
_34812_,659.97
_06005_,659.07
_18015_,658.575
_34496_,653.73
_34842_,648.71
_06516_,647.93
_06519_,643.72
_24160_,640.05
net1,639.26
_05534_,636.66
_35473_,635.9
_10822_,635.715
_04657_,632.51
_26152_,632.38
_34747_,631.575
_06522_,628.73
_06510_,628
_13698_,627.9
_13670_,627.42
_19317_,624.78
_06513_,624.6
_21929_,623.74
_34784_,620.06
_34862_,618.91
_26751_,615.31
_08629_,614.135
_17582_,612.2
_24849_,611.5
_34960_,608.51
_13193_,608.15
_06526_,607.04
_06505_,605.56
_08920_,598.38
_34969_,597.6
_06529_,595.67
_34964_,591.93
_09841_,589.39
_18533_,588.72
_35011_,585.4
_16704_,584.15
_26731_,583.08
_34859_,582.99
_34425_,582.58
_37132_,577.43
_11644_,577.38
_12253_,577.35
_20498_,575.02
_17578_,572.12
_34864_,571.78
_04109_,569.07
_29153_,568.46
_04771_,567.14
_14661_,566.83
_31329_,566.24
_34956_,566.16
_16141_,563.24
_17101_,562.5
_15719_,561.09
_17585_,558.73
_14264_,558.17
_06042_,556.37
_14655_,555.92
_08632_,554.58
_17593_,554.53
_06036_,554.47
_34424_,553.35
_17107_,549.78
_18527_,549.47
_18530_,547.83
